,Cities,Country,Temperature,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Longitude,Latitude,Date
121,Spremberg,DE,43.74,41.0,46.4,81,75,12.75,14.37,51.57,2019-10-03 03:02:43
122,College,US,36.1,33.01,37.99,100,90,9.17,-147.8,64.86,2019-10-03 02:53:46
123,Tiarei,PF,80.31,80.01,80.6,65,20,12.75,-149.33,-17.53,2019-10-03 02:53:36
124,Iracoubo,GF,76.88,76.88,76.88,83,69,7.11,-53.21,5.48,2019-10-03 03:02:47
125,Lorengau,PG,82.91,82.91,82.91,75,87,2.28,147.27,-2.02,2019-10-03 02:53:10
126,Polunochnoye,RU,41.82,41.82,41.82,89,100,6.73,60.43,60.87,2019-10-03 03:02:49
127,Cody,US,36.95,32.0,41.0,60,1,6.93,-109.06,44.53,2019-10-03 03:02:50
128,Salalah,OM,78.8,78.8,78.8,83,40,3.36,54.1,17.01,2019-10-03 02:51:22
129,Changli,CN,70.65,70.65,70.65,94,100,5.06,105.42,30.54,2019-10-03 03:02:53
130,Laguna,BZ,78.8,78.8,78.8,94,75,1.5,-88.94,16.17,2019-10-03 02:53:48
131,Puerto Ayora,EC,68.0,68.0,68.0,91,47,1.01,-90.35,-0.74,2019-10-03 02:51:10
132,Port Lincoln,AU,57.41,57.41,57.41,84,28,11.52,135.86,-34.72,2019-10-03 02:54:02
133,Manali,IN,34.22,34.22,34.22,62,0,2.55,77.19,32.25,2019-10-03 03:02:57
134,Kaitangata,NZ,53.01,53.01,53.01,59,81,11.01,169.85,-46.28,2019-10-03 02:54:21
135,Mar del Plata,AR,46.48,46.48,46.48,37,0,7.56,-67.52,-46.43,2019-10-03 02:53:34
136,Harper,US,77.67,75.2,80.6,51,1,7.0,-99.24,30.3,2019-10-03 02:55:14
137,Kyren,RU,25.17,25.17,25.17,64,0,3.76,102.13,51.68,2019-10-03 03:03:02
138,Cabo San Lucas,MX,78.06,75.0,80.01,69,20,6.93,-109.91,22.89,2019-10-03 02:50:33
139,Vardo,US,76.3,72.0,81.0,78,90,1.43,-77.74,39.62,2019-10-03 02:54:48
140,Aras,ES,53.49,51.8,55.99,93,100,6.93,-2.36,42.56,2019-10-03 03:03:05
141,Pando,UY,52.27,51.01,54.0,57,0,13.87,-55.96,-34.72,2019-10-03 03:03:07
142,Magadan,RU,36.83,36.83,36.83,65,100,6.85,150.8,59.56,2019-10-03 03:03:08
143,Emba,CY,65.01,61.0,68.0,82,90,6.93,32.42,34.81,2019-10-03 02:54:02
144,Inongo,CD,72.09,72.09,72.09,85,58,2.3,18.29,-1.93,2019-10-03 03:03:10
145,Atuona,PF,80.09,80.09,80.09,72,24,8.16,-139.03,-9.8,2019-10-03 02:58:51
146,Danielskuil,ZA,57.15,57.15,57.15,42,0,21.74,23.54,-28.19,2019-10-03 03:03:12
147,Mayo,CA,50.0,50.0,50.0,46,75,1.79,-135.9,63.59,2019-10-03 03:03:14
148,Lompoc,US,60.04,55.0,63.0,54,1,4.7,-120.46,34.64,2019-10-03 02:52:53
149,Saint-Philippe,CA,42.39,37.99,46.0,75,1,9.17,-73.48,45.36,2019-10-03 03:03:16
150,La Spezia,IT,57.9,54.0,64.0,93,0,4.7,9.83,44.11,2019-10-03 03:00:20
151,Lesnoy,RU,45.36,45.36,45.36,90,100,8.99,52.13,59.78,2019-10-03 03:03:19
152,Omboue,GA,76.95,76.95,76.95,75,100,7.67,9.26,-1.57,2019-10-03 03:03:20
153,Bethel,US,49.37,48.2,51.8,87,90,8.05,-161.76,60.79,2019-10-03 02:53:21
154,Ribeira Grande,PT,69.54,69.54,69.54,68,100,8.68,-28.7,38.52,2019-10-03 02:50:41
155,Rapid City,US,38.44,33.01,42.01,100,90,6.93,-103.23,44.08,2019-10-03 03:00:00
156,Barrancabermeja,CO,73.88,73.88,73.88,98,82,0.27,-73.85,7.07,2019-10-03 03:03:02
157,Celestun,MX,82.21,82.21,82.21,79,0,15.93,-90.4,20.87,2019-10-03 03:03:25
158,Chicama,PE,62.6,62.6,62.6,88,40,11.41,-79.15,-7.84,2019-10-03 02:52:22
159,Sumalig,PH,90.17,90.17,90.17,57,16,1.52,123.66,8.0,2019-10-03 03:03:28
160,Whitianga,NZ,57.99,57.99,57.99,66,100,8.99,175.7,-36.83,2019-10-03 03:03:29
161,Kudahuvadhoo,MV,83.38,83.38,83.38,75,100,7.96,72.89,2.67,2019-10-03 02:54:17
162,Pangnirtung,CA,23.26,23.26,23.26,70,0,3.91,-65.72,66.15,2019-10-03 03:03:31
163,Ternate,PH,84.15,82.4,86.0,74,40,6.93,120.72,14.29,2019-10-03 02:54:25
164,Norman Wells,CA,46.4,46.4,46.4,93,75,3.36,-126.83,65.28,2019-10-03 03:03:34
165,Teya,MX,82.24,82.0,82.4,78,40,4.7,-89.07,21.05,2019-10-03 03:03:35
166,Alta Floresta,BR,71.5,71.5,71.5,85,24,2.1,-56.08,-9.87,2019-10-03 02:54:51
167,Cayenne,GF,78.8,78.8,78.8,83,0,6.08,-52.33,4.94,2019-10-03 02:55:07
168,Mineral Wells,US,81.68,78.01,84.99,57,1,6.93,-98.11,32.81,2019-10-03 03:03:38
169,Karratha,AU,98.91,98.91,98.91,14,0,4.16,116.85,-20.74,2019-10-03 02:53:28
170,Denpasar,ID,84.2,84.2,84.2,79,20,10.29,115.22,-8.65,2019-10-03 03:01:33
171,Souillac,FR,51.28,48.99,53.01,93,0,8.66,-0.6,45.6,2019-10-03 02:54:24
172,Hilo,US,72.97,53.01,84.2,58,75,5.82,-155.08,19.71,2019-10-03 02:51:33
173,Gao,ML,86.03,86.03,86.03,42,59,8.32,-0.04,16.28,2019-10-03 03:03:44
174,Valley City,US,36.09,33.8,37.4,100,90,6.93,-98.0,46.92,2019-10-03 03:00:03
175,Vestmannaeyjar,IS,47.74,47.74,47.74,75,100,47.51,-20.27,63.44,2019-10-03 02:54:32
176,Lamu,CN,50.58,50.58,50.58,64,100,5.93,102.37,35.77,2019-10-03 03:03:47
177,Lagoa,PT,60.26,59.0,61.0,82,0,3.36,-8.45,37.14,2019-10-03 03:03:48
178,Airai,TL,93.57,93.57,93.57,32,0,3.29,125.41,-8.93,2019-10-03 03:03:50
179,Diffa,NE,83.52,83.52,83.52,54,100,15.3,12.61,13.32,2019-10-03 03:03:51
180,Melk,AT,45.59,42.01,48.0,95,100,8.01,15.34,48.23,2019-10-03 03:03:52
181,Kenai,US,49.35,46.0,51.8,57,40,4.7,-151.26,60.55,2019-10-03 03:03:38
182,Luderitz,NA,55.23,55.23,55.23,93,0,24.07,15.16,-26.65,2019-10-03 02:51:57
183,Chupa,PE,42.43,42.43,42.43,86,59,3.04,-69.99,-15.11,2019-10-03 03:03:55
184,Baculin,PH,83.51,83.51,83.51,65,3,6.33,126.58,7.45,2019-10-03 03:03:57
185,Sambava,MG,69.45,69.45,69.45,87,96,3.76,50.17,-14.27,2019-10-03 03:03:58
186,Paamiut,GL,47.27,47.27,47.27,52,94,13.11,-49.67,61.99,2019-10-03 03:03:06
187,Torbay,CA,39.81,39.0,41.0,93,90,10.29,-52.73,47.66,2019-10-03 03:04:00
188,Myrtle Grove,US,80.38,78.01,82.4,61,1,4.7,-91.27,33.31,2019-10-03 03:04:02
189,San Patricio,PY,67.31,67.31,67.31,94,100,6.38,-56.83,-26.98,2019-10-03 03:04:03
190,Porto Walter,BR,75.5,75.5,75.5,73,100,1.01,-72.74,-8.27,2019-10-03 03:04:04
191,Caravelas,BR,69.81,69.81,69.81,78,0,7.87,-39.27,-17.73,2019-10-03 03:00:14
192,Agadir,MA,64.4,64.4,64.4,77,0,4.7,-9.58,30.42,2019-10-03 03:04:06
193,Si Sa Ket,TH,85.98,84.2,89.01,79,40,4.7,104.33,15.12,2019-10-03 02:54:10
194,Constitucion,MX,60.85,59.0,63.0,82,90,10.29,-104.67,23.99,2019-10-03 02:54:10
195,Klaksvik,FO,42.8,42.8,42.8,81,5,1.12,-6.59,62.23,2019-10-03 03:04:10
196,Victoria,BN,85.08,84.0,86.0,74,75,2.24,115.24,5.28,2019-10-03 02:59:40
197,Sao Joao da Barra,BR,65.27,65.27,65.27,97,5,1.54,-41.05,-21.64,2019-10-03 03:02:33
198,Namibe,AO,64.93,64.93,64.93,82,53,6.58,12.15,-15.19,2019-10-03 02:55:13
199,Trairi,BR,73.35,73.35,73.35,82,28,7.0,-39.27,-3.28,2019-10-03 03:04:14
200,Iqaluit,CA,32.0,32.0,32.0,92,20,6.93,-68.52,63.75,2019-10-03 03:04:16
201,Kruisfontein,ZA,58.29,58.29,58.29,74,100,16.28,24.73,-34.0,2019-10-03 02:54:29
202,Mount Isa,AU,93.2,93.2,93.2,20,0,13.87,139.49,-20.73,2019-10-03 03:04:18
203,Pevek,RU,29.27,29.27,29.27,72,100,7.85,170.27,69.7,2019-10-03 03:04:19
204,Shimoda,JP,77.9,73.99,80.6,61,75,11.41,138.93,34.7,2019-10-03 03:04:20
205,Bontang,ID,91.46,91.46,91.46,52,7,2.84,117.47,0.12,2019-10-03 03:04:22
206,Port Augusta,AU,72.7,62.6,84.99,72,0,8.05,137.76,-32.49,2019-10-03 03:04:23
207,Amambai,BR,72.11,72.11,72.11,82,100,3.38,-55.23,-23.11,2019-10-03 03:04:24
208,Arraial do Cabo,BR,69.41,69.41,69.41,84,0,26.8,-42.02,-22.97,2019-10-03 03:04:26
209,Okakarara,NA,51.14,51.14,51.14,18,24,5.1,17.46,-20.59,2019-10-03 03:04:27
210,Clyde River,CA,32.0,32.0,32.0,98,75,4.7,-68.59,70.47,2019-10-03 02:55:02
211,Kaeng Khoi,TH,89.1,87.01,91.0,76,88,3.0,101.0,14.59,2019-10-03 03:04:29
212,Half Moon Bay,US,58.87,54.0,62.6,76,1,9.17,-122.43,37.46,2019-10-03 03:02:10
213,Marzuq,YE,70.58,70.58,70.58,65,4,1.36,46.47,14.4,2019-10-03 03:04:32
214,Yerbogachen,RU,33.77,33.77,33.77,95,100,11.92,108.01,61.28,2019-10-03 02:53:17
215,Port Alfred,ZA,63.0,63.0,63.0,86,0,11.01,26.89,-33.59,2019-10-03 03:04:34
216,San Policarpo,PH,84.78,84.78,84.78,66,99,6.11,125.51,12.18,2019-10-03 03:04:35
217,Svetlogorsk,RU,41.0,41.0,41.0,60,40,8.95,59.15,53.14,2019-10-03 02:55:17
218,Upernavik,GL,37.19,37.19,37.19,68,100,10.69,-56.15,72.79,2019-10-03 03:04:37
219,San Buenaventura,MX,76.94,76.94,76.94,62,53,7.65,-101.55,27.06,2019-10-03 03:04:39
220,Port-Gentil,GA,77.53,77.53,77.53,75,100,8.72,8.78,-0.72,2019-10-03 03:04:40
221,Nilokheri,IN,78.25,78.25,78.25,72,23,5.06,76.93,29.84,2019-10-03 03:04:41
222,Shache,CN,64.64,64.64,64.64,30,85,6.06,77.24,38.42,2019-10-03 03:04:42
223,Havre-Saint-Pierre,CA,35.6,35.6,35.6,69,20,8.05,-63.6,50.23,2019-10-03 03:04:44
224,Tarakan,ID,86.46,86.46,86.46,60,25,3.87,117.63,3.3,2019-10-03 03:04:45
225,Ati,TD,82.21,82.21,82.21,60,87,8.05,18.34,13.21,2019-10-03 03:00:19
226,Dhidhdhoo,MV,82.62,82.62,82.62,72,0,7.23,73.1,6.88,2019-10-03 03:04:47
227,Arkansas City,US,64.78,59.0,72.0,100,90,12.75,-97.04,37.06,2019-10-03 03:04:49
228,Ballina,IE,46.45,45.0,48.0,80,100,5.99,-9.15,54.11,2019-10-03 03:04:50
229,Francisco Sa,BR,73.4,73.4,73.4,40,0,3.36,-43.49,-16.48,2019-10-03 03:04:51
230,Cheremukhovo,RU,53.59,53.59,53.59,91,95,9.33,46.23,56.23,2019-10-03 03:04:52
231,Akdepe,TM,44.6,44.6,44.6,56,0,4.7,59.39,42.05,2019-10-03 03:04:54
232,Arzamas,RU,50.42,50.42,50.42,90,100,8.55,43.84,55.4,2019-10-03 03:04:55
233,Isla Mujeres,MX,80.35,80.01,80.6,83,40,2.24,-86.73,21.23,2019-10-03 03:04:36
234,Broken Hill,AU,87.8,87.8,87.8,10,0,19.46,141.45,-31.97,2019-10-03 03:04:57
235,Takoradi,GH,73.26,73.26,73.26,96,100,1.92,-1.75,4.89,2019-10-03 03:04:58
236,Noumea,NC,77.41,75.99,78.8,44,75,21.92,166.46,-22.28,2019-10-03 03:05:00
237,Algiers,US,79.99,77.0,84.0,94,20,4.7,-90.04,29.94,2019-10-03 03:05:01
238,Cordoba,AR,43.78,43.78,43.78,36,0,5.12,-67.24,-27.78,2019-10-03 03:05:02
239,Cassilandia,BR,70.6,70.6,70.6,90,100,6.04,-51.73,-19.11,2019-10-03 03:02:51
240,Puerto Escondido,MX,74.97,74.97,74.97,85,38,3.31,-97.07,15.86,2019-10-03 03:05:05
241,Gamba,CN,37.46,37.46,37.46,66,79,3.78,88.52,28.28,2019-10-03 03:05:06
242,Roswell,US,70.97,68.0,73.4,94,75,6.93,-104.52,33.39,2019-10-03 03:01:15
243,Sisimiut,GL,41.69,41.69,41.69,63,0,3.78,-53.67,66.94,2019-10-03 03:04:44
244,Petropavlovsk-Kamchatskiy,RU,57.2,57.2,57.2,67,75,6.71,158.65,53.05,2019-10-03 03:05:09
245,Marawi,PH,84.0,84.0,84.0,77,14,5.01,124.29,8.0,2019-10-03 03:00:50
246,Esperance,AU,68.0,68.0,68.0,56,67,13.87,121.89,-33.86,2019-10-03 02:55:12
247,Buin,CL,50.0,50.0,50.0,53,0,8.05,-70.74,-33.73,2019-10-03 03:05:13
248,Altamont,CA,39.63,39.2,39.99,107,90,8.05,-98.5,49.4,2019-10-03 03:05:14
249,Honiara,SB,87.8,87.8,87.8,62,40,5.82,159.96,-9.43,2019-10-03 03:05:15
250,Hami,CN,59.94,59.94,59.94,21,0,7.02,93.51,42.84,2019-10-03 03:01:48
251,Luorong,CN,86.12,86.12,86.12,52,0,5.3,109.6,24.41,2019-10-03 03:05:18
252,Alamogordo,US,63.07,54.0,73.4,31,1,5.82,-105.96,32.9,2019-10-03 03:05:19
253,Vitim,RU,33.07,33.07,33.07,92,100,12.73,112.57,59.44,2019-10-03 03:05:20
254,Taldan,RU,39.93,39.93,39.93,31,0,7.23,124.82,53.69,2019-10-03 03:05:21
255,Ormara,PK,81.89,81.89,81.89,74,87,8.97,64.64,25.21,2019-10-03 03:05:22
256,Castro,CL,33.8,33.8,33.8,94,0,6.93,-73.76,-42.48,2019-10-03 03:05:23
257,Baykit,RU,35.97,35.97,35.97,99,100,5.73,96.39,61.68,2019-10-03 03:05:25
258,San Cristobal,HN,66.62,66.62,66.62,95,100,3.65,-86.92,14.68,2019-10-03 03:05:26
259,Shuya,RU,45.4,45.4,45.4,90,91,5.23,41.38,56.84,2019-10-03 03:05:27
260,Vaitape,PF,77.78,77.78,77.78,78,9,14.76,-151.75,-16.52,2019-10-03 03:05:29
